provider,model,seed,condition_type,strategy,random_RSI,final_RSI,delta_RSI,random_GBC,final_GBC,delta_GBC,random_CAI,final_CAI,delta_CAI,random_SII,final_SII,delta_SII,run_dir
ollama,qwen2.5:7b-instruct,1,neutral,boss,0.39796502856118215,0.36178003966094874,-0.03618498890023342,0.28774734680970204,0.18867660995972185,-0.09907073684998019,0.02499999999999996,0.10555555555555547,0.08055555555555552,0.022395160411940382,0.07627516787636648,0.0538800074644261,runs/ollama/qwen2.5-7b-instruct_neutral_boss_seed1_1778432765
ollama,qwen2.5:7b-instruct,1,neutral,control,0.3911277557051004,0.41928482710783094,0.02815707140273055,0.4698751387327067,0.4206330610109231,-0.04924207772178357,0.041666666666666664,0.013888888888888888,-0.027777777777777776,0.06764330923269951,0.010015420209622197,-0.05762788902307731,runs/ollama/qwen2.5-7b-instruct_neutral_control_seed1_1778434434
ollama,qwen2.5:7b-instruct,2,halo,boss,0.3955737215988389,0.37955117864636123,-0.01602254295247768,0.4585141277375591,0.475700539880059,0.017186412142499885,0.05555555555555555,0.03611111111111113,-0.019444444444444424,0.039479640009866375,0.03898796902116167,-0.000491670988704708,runs/ollama/qwen2.5-7b-instruct_halo-style_polite_structured_boss_seed2_1778441834
ollama,qwen2.5:7b-instruct,2,halo,control,0.42126306184329093,0.3991860927791855,-0.022076969064105445,0.47767048968704673,0.7092629378102115,0.23159244812316482,0.03333333333333331,0.016666666666666607,-0.016666666666666705,0.02484519974999764,0.056245713142546075,0.031400513392548436,runs/ollama/qwen2.5-7b-instruct_halo-style_polite_structured_control_seed2_1778443574
ollama,qwen2.5:7b-instruct,2,neutral,boss,0.42385954173683665,0.3847985629712563,-0.039060978765580345,0.4837051807330959,0.2971469791067847,-0.18655820162631115,0.05555555555555555,0.08888888888888886,0.03333333333333331,0.039479640009866375,0.11992796191623832,0.08044832190637194,runs/ollama/qwen2.5-7b-instruct_neutral_boss_seed2_1778438900
ollama,qwen2.5:7b-instruct,2,neutral,control,0.40047683683487234,0.39574163959141934,-0.004735197243453004,0.38895633795694934,0.12237881612288051,-0.2665775218340688,0.0,0.06388888888888891,0.06388888888888891,0.015713484026367734,0.06966631224435806,0.05395282821799032,runs/ollama/qwen2.5-7b-instruct_neutral_control_seed2_1778440508
ollama,qwen2.5:7b-instruct,3,halo,boss,0.38428123248952584,0.3871215554304963,0.0028403229409704744,0.1665456611232476,0.2547322229057857,0.08818656178253809,0.06388888888888891,0.08055555555555562,0.016666666666666705,0.07581857813308993,0.05726535591135644,-0.018553222221733487,runs/ollama/qwen2.5-7b-instruct_halo-style_polite_structured_boss_seed3_1778448022
ollama,qwen2.5:7b-instruct,3,halo,control,0.3672227866598665,0.3925398660407384,0.02531707938087191,0.19089603611381217,0.24893067790956103,0.058034641795748854,0.07222222222222216,0.008333333333333255,-0.06388888888888891,0.051669653438161836,0.057265355911356355,0.005595702473194519,runs/ollama/qwen2.5-7b-instruct_halo-style_polite_structured_control_seed3_1778449898
ollama,qwen2.5:7b-instruct,3,neutral,boss,0.4083944355086129,0.38596154442675434,-0.02243289108185853,0.307150289720849,0.2705609346672022,-0.0365893550536468,0.0472222222222222,0.052777777777777736,0.005555555555555536,0.033448873829978576,0.03977172517576764,0.0063228513457890614,runs/ollama/qwen2.5-7b-instruct_neutral_boss_seed3_1778445066
ollama,qwen2.5:7b-instruct,3,neutral,control,0.39592981972141916,0.38172501229543104,-0.01420480742598812,0.2609441247790187,0.25233059361755084,-0.008613531161467847,0.03611111111111113,0.1083333333333333,0.07222222222222216,0.04203540541783765,0.08074689918749235,0.0387114937696547,runs/ollama/qwen2.5-7b-instruct_neutral_control_seed3_1778446801
ollama,qwen2.5:7b-instruct,4,halo,boss,0.41929640485796515,0.4030430366523515,-0.016253368205613627,0.5193397949328667,0.30379391957873825,-0.2155458753541285,0.07222222222222216,0.05000000000000002,-0.022222222222222143,0.07222222222222216,0.05285082664011236,-0.019371395582109797,runs/ollama/qwen2.5-7b-instruct_halo-style_polite_structured_boss_seed4_1778454514
ollama,qwen2.5:7b-instruct,4,halo,control,0.41326240379092377,0.41182168394627156,-0.0014407198446522163,0.4678764689716794,0.4487201070221918,-0.01915636194948761,0.013888888888888888,0.016666666666666705,0.0027777777777778165,0.061676675864373684,0.033564016593318285,-0.0281126592710554,runs/ollama/qwen2.5-7b-instruct_halo-style_polite_structured_control_seed4_1778456335
ollama,qwen2.5:7b-instruct,4,neutral,boss,0.4356360119046729,0.4039931712881058,-0.03164284061656708,0.42434270565885246,0.32270656360528843,-0.10163614205356403,0.011111111111111072,0.03333333333333341,0.022222222222222338,0.04392052305789413,0.10099810534832136,0.05707758229042723,runs/ollama/qwen2.5-7b-instruct_neutral_boss_seed4_1778451410
ollama,qwen2.5:7b-instruct,4,neutral,control,0.3919208160629957,0.40439010973793377,0.012469293674938042,0.21940733764595427,0.23374583091353174,0.014338493267577468,0.04444444444444448,0.038888888888888945,-0.005555555555555536,0.07737993487324514,0.03621779114001473,-0.04116214373323041,runs/ollama/qwen2.5-7b-instruct_neutral_control_seed4_1778453134
